Rank,Puzzles,Solutions
1,1 3 4 8 8,(1+(3+(4+(8+8))))
2,2 7 7 7 9,(2*(7+(7+(7-9))))
3,1 3 3 4 7,(1*(3*((4+7)-3)))
4,1 5 6 7 7,((5+(6+(7+7)))-1)
5,2 3 4 4 5,(2/(3/(4*(4+5))))
6,1 3 4 9 9,((3+(4+(9+9)))-1)
7,2 4 4 5 8,(((4*(5+8))-4)/2)
8,1 3 3 5 8,((1+3)*(3-(5-8)))
9,1 1 6 7 8,((1+(1-(6-7)))*8)
10,5 7 7 7 9,((7+7)-(5*(7-9)))
11,1 2 2 5 7,(1+(2-((2-5)*7)))
12,1 1 6 8 9,(1*(1+(6+(8+9))))
13,3 6 6 6 6,(3*(6+((6+6)/6)))
14,3 3 3 3 5,(3*((3+(3+5))-3))
15,1 2 2 6 8,(1*(2*((6+8)-2)))
16,4 4 4 6 9,((4*(4-(6-9)))-4)
17,3 7 7 7 9,(3+(7-(7*(7-9))))
18,2 4 6 6 6,(2+(4+(6+(6+6))))
19,1 1 4 8 9,(1*(1+((4*8)-9)))
20,1 2 5 5 8,(1+((2*5)+(5+8)))
21,2 2 3 8 8,((2*((8+8)-3))-2)
22,1 4 5 7 8,(1*(4+(5+(7+8))))
23,1 2 5 6 9,(1+(2+((5*6)-9)))
24,1 4 4 4 7,(1+(4*(4+(7/4))))
25,2 2 6 8 9,(2-(2*(6-(8+9))))
26,3 3 5 8 8,(3*(((8+8)-5)-3))
27,1 4 4 5 8,(1*(((4*5)+8)-4))
28,2 4 7 7 8,((4+(7+(7+8)))-2)
29,2 3 6 9 9,((3+((6*9)-9))/2)
30,2 3 5 5 8,(2*((5*(8-5))-3))
31,4 5 5 6 9,(4+(5-(5*(6-9))))
32,2 2 5 5 7,(2*(2-(5*(5-7))))
33,4 4 8 8 9,((4*(8+(8-9)))-4)
34,1 1 3 3 4,((1+((3+3)*4))-1)
35,2 3 5 6 9,(2*((5*(9-6))-3))
36,5 5 7 8 9,((5+(7+(8+9)))-5)
37,1 3 4 4 5,(1*(3+((4*4)+5)))
38,2 4 4 8 8,((4*((8+8)-4))/2)
39,1 2 3 4 4,(1/(2/(3*(4*4))))
