Rank,Puzzles,Solutions
1,128 152 372 444 1313 1494 2877 2917 3334 3997 4993 5149 5456 5666 6242 6447 6764 7096 7138 7334 8161 8161 8196 8447 8682 8768 8814 9484 9489 10149 11157 11316 12548 12875 13182 13317 13679 14104 14121 14387 14418 14548 15601 15675 16156 16419 16435 16624 16952 17039 17354 17703 18479 18777 18934 19248 19443 19455 19477 19560,((152+(372/(444+(1313*(1494+(2877+(2917+(3334+(3997+(4993+(5149+(5456+(5666+(6242+(6447+(6764+(7096+(7138+(7334+(8161+(8161+(8196+(8447+(8682+(8768+(8814+(9484+(9489+(10149+(11157+(11316+(12548+(12875+(13182+(13317+(13679+(14104+(14121+(14387+(14418+(14548+(15601+(15675+(16156+(16419+(16435+(16624+(16952+(17039+(17354+(17703+(18479+(18777+(18934+(19248+(19443+(19455+(19477+19560))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-128)
2,24 56 163 235 388 1449 1588 2275 2376 3073 3186 3444 3596 4987 5821 5929 5947 6014 6268 6356 7330 7598 8643 9029 9050 9293 9344 10495 10589 10903 11261 11394 11407 11865 12024 12024 12604 12741 12752 12963 13675 13855 13912 13982 14231 14710 15373 15679 15996 16460 17561 18084 18258 18332 18342 18342 18720 19010 19057 19361,(24+(56/(163*(235+(388+(1449+(1588+(2275+(2376+(3073+(3186+(3444+(3596+(4987+(5821+(5929+(5947+(6014+(6268+(6356+(7330+(7598+(8643+(9029+(9050+(9293+(9344+(10495+(10589+(10903+(11261+(11394+(11407+(11865+(12024+(12024+(12604+(12741+(12752+(12963+(13675+(13855+(13912+(13982+(14231+(14710+(15373+(15679+(15996+(16460+(17561+(18084+(18258+(18332+(18342+(18342+(18720+(19010+(19057+19361)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
3,5 38 82 281 486 700 1305 1321 3097 3206 3288 3574 3732 4198 4481 4791 5711 5714 5981 6475 6745 7147 7696 8968 9236 9769 10218 10590 10847 10942 11310 11654 11703 11786 11886 12177 12327 12658 12851 13011 13228 13308 13952 14908 15099 15616 16436 16461 16600 17037 17479 17526 17564 18131 18276 18294 18673 19034 19037 19195,((38+(82+(281/(486*(700+(1305+(1321+(3097+(3206+(3288+(3574+(3732+(4198+(4481+(4791+(5711+(5714+(5981+(6475+(6745+(7147+(7696+(8968+(9236+(9769+(10218+(10590+(10847+(10942+(11310+(11654+(11703+(11786+(11886+(12177+(12327+(12658+(12851+(13011+(13228+(13308+(13952+(14908+(15099+(15616+(16436+(16461+(16600+(17037+(17479+(17526+(17564+(18131+(18276+(18294+(18673+(19034+(19037+19195))))))))))))))))))))))))))))))))))))))))))))))))))))))))))/5)
4,24 66 81 606 637 1113 1302 2085 2223 3119 3457 3931 4755 4997 5170 5314 6025 6372 6782 6838 7103 7534 7877 7939 8450 9649 10580 11079 11126 11138 11695 12752 12766 12770 12790 12822 13062 13330 13984 14358 14514 14560 14835 16116 16355 16602 16878 17049 17276 17713 17860 18187 18526 18663 18735 18947 18984 19161 19370 19857,(24+(66/(81+(606*(637+(1113+(1302+(2085+(2223+(3119+(3457+(3931+(4755+(4997+(5170+(5314+(6025+(6372+(6782+(6838+(7103+(7534+(7877+(7939+(8450+(9649+(10580+(11079+(11126+(11138+(11695+(12752+(12766+(12770+(12790+(12822+(13062+(13330+(13984+(14358+(14514+(14560+(14835+(16116+(16355+(16602+(16878+(17049+(17276+(17713+(17860+(18187+(18526+(18663+(18735+(18947+(18984+(19161+(19370+19857)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
5,24 189 787 1008 1085 1257 1422 1501 1770 1932 2727 3463 3784 3986 4263 4350 4499 4639 4827 5254 6095 6109 6619 6774 6874 6913 7221 7622 8047 9489 9682 9721 9723 9888 9928 10103 10795 10992 11629 13476 13487 14156 14463 14521 14559 14828 14837 15231 16552 16773 16837 16920 17005 17089 17327 17750 18241 19116 19591 19792,(24+(189/(787*(1008+(1085+(1257+(1422+(1501+(1770+(1932+(2727+(3463+(3784+(3986+(4263+(4350+(4499+(4639+(4827+(5254+(6095+(6109+(6619+(6774+(6874+(6913+(7221+(7622+(8047+(9489+(9682+(9721+(9723+(9888+(9928+(10103+(10795+(10992+(11629+(13476+(13487+(14156+(14463+(14521+(14559+(14828+(14837+(15231+(16552+(16773+(16837+(16920+(17005+(17089+(17327+(17750+(18241+(19116+(19591+19792)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
6,188 212 556 930 1064 1387 1807 2245 2739 2959 2962 3165 3556 3679 4001 5194 5259 5351 6088 6456 6605 6965 7804 8221 8229 9431 10489 10547 10945 11031 11095 11096 11413 11600 11682 12034 13077 13079 13110 13956 14156 14347 14379 14759 15565 15585 15931 16028 16292 16684 17293 17366 17399 17525 17548 17840 17993 18399 18801 19491,((212+(556/(930*(1064+(1387+(1807+(2245+(2739+(2959+(2962+(3165+(3556+(3679+(4001+(5194+(5259+(5351+(6088+(6456+(6605+(6965+(7804+(8221+(8229+(9431+(10489+(10547+(10945+(11031+(11095+(11096+(11413+(11600+(11682+(12034+(13077+(13079+(13110+(13956+(14156+(14347+(14379+(14759+(15565+(15585+(15931+(16028+(16292+(16684+(17293+(17366+(17399+(17525+(17548+(17840+(17993+(18399+(18801+19491))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-188)
7,24 159 1131 2775 2819 2917 2931 3161 3220 3479 4334 4918 5025 5079 5110 5714 6021 6271 6533 7398 8275 8363 8365 8628 8751 8870 8968 9106 9317 10033 10225 10678 11253 11674 11776 11825 13035 13555 13637 13851 14075 14462 14871 15238 15973 16717 16943 17040 17169 17493 17560 17902 17971 18346 18671 18999 19005 19018 19217 19991,(24+(159/(1131*(2775+(2819+(2917+(2931+(3161+(3220+(3479+(4334+(4918+(5025+(5079+(5110+(5714+(6021+(6271+(6533+(7398+(8275+(8363+(8365+(8628+(8751+(8870+(8968+(9106+(9317+(10033+(10225+(10678+(11253+(11674+(11776+(11825+(13035+(13555+(13637+(13851+(14075+(14462+(14871+(15238+(15973+(16717+(16943+(17040+(17169+(17493+(17560+(17902+(17971+(18346+(18671+(18999+(19005+(19018+(19217+19991)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
8,387 411 1096 1908 1920 2470 2767 3356 3443 3468 3488 3643 3728 3810 3954 4760 4828 4892 5842 6011 6154 6532 7321 7383 7896 8284 8405 8647 9196 9349 9457 9641 9660 9993 10235 10378 10486 10834 11734 12518 12608 13324 13538 14796 14990 15236 15378 15758 16077 16290 16489 16515 17467 18124 18291 18984 19201 19407 19437 19499,((411+(1096/(1908*(1920+(2470+(2767+(3356+(3443+(3468+(3488+(3643+(3728+(3810+(3954+(4760+(4828+(4892+(5842+(6011+(6154+(6532+(7321+(7383+(7896+(8284+(8405+(8647+(9196+(9349+(9457+(9641+(9660+(9993+(10235+(10378+(10486+(10834+(11734+(12518+(12608+(13324+(13538+(14796+(14990+(15236+(15378+(15758+(16077+(16290+(16489+(16515+(17467+(18124+(18291+(18984+(19201+(19407+(19437+19499))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-387)
9,99 181 304 451 1603 1640 1700 1955 2164 2193 2224 2231 2778 2809 3143 3736 4603 5040 5281 5548 6147 6293 6705 6861 6974 7508 7514 8002 8115 8319 9166 9540 10330 10421 11037 11077 11413 11532 11653 11693 11800 12838 13681 14028 14189 14581 14709 15017 15031 15312 15481 16464 17262 17839 18638 18668 19160 19323 19336 19669,(((304+(451/(1603*(1640+(1700+(1955+(2164+(2193+(2224+(2231+(2778+(2809+(3143+(3736+(4603+(5040+(5281+(5548+(6147+(6293+(6705+(6861+(6974+(7508+(7514+(8002+(8115+(8319+(9166+(9540+(10330+(10421+(11037+(11077+(11413+(11532+(11653+(11693+(11800+(12838+(13681+(14028+(14189+(14581+(14709+(15017+(15031+(15312+(15481+(16464+(17262+(17839+(18638+(18668+(19160+(19323+(19336+19669)))))))))))))))))))))))))))))))))))))))))))))))))))))))))-181)-99)
10,9 499 715 1099 1156 1785 2148 2238 2419 2687 2834 2977 3195 3361 5300 5431 5978 6755 7272 7564 7898 8171 8890 8905 9285 9569 10007 10075 10137 11669 11970 12032 12120 12431 12521 12611 13420 13598 13771 14085 14710 14899 15422 15505 16131 16606 16652 16710 16859 17123 17154 17385 17683 17923 18163 18316 18391 18652 18939 19396,(((715+(1099/(1156*(1785+(2148+(2238+(2419+(2687+(2834+(2977+(3195+(3361+(5300+(5431+(5978+(6755+(7272+(7564+(7898+(8171+(8890+(8905+(9285+(9569+(10007+(10075+(10137+(11669+(11970+(12032+(12120+(12431+(12521+(12611+(13420+(13598+(13771+(14085+(14710+(14899+(15422+(15505+(16131+(16606+(16652+(16710+(16859+(17123+(17154+(17385+(17683+(17923+(18163+(18316+(18391+(18652+(18939+19396)))))))))))))))))))))))))))))))))))))))))))))))))))))))))-499)/9)
