Rank,Puzzles,Solutions
1,3 4 4 5 6 10,(3-(4-(4+(5+(6+10)))))
2,4 5 9 10 10 10,(4*(5-(9+(10-(10+10)))))
3,7 7 7 7 10 10,((7*(((10/7)+10)-7))-7)
4,3 4 5 5 7 11,((4*((5+(7+11))-5))/3)
5,3 6 6 6 11 11,(3-((6-(6*(11+11)))/6))
6,3 3 10 10 10 11,((3*(11-((10+10)/10)))-3)
7,3 3 7 7 7 7,((3*(7+((7+7)/7)))-3)
8,6 6 6 7 10 11,(6*(6-(6*(7/(10+11)))))
9,3 3 6 9 9 10,(((((9*10)-9)-6)-3)/3)
10,5 9 9 10 11 11,((9+(9+(10+(11/11))))-5)
11,5 5 7 7 8 11,(5+(5-(7+(7*(8-11)))))
12,3 3 5 9 9 9,(3+(3*(5+((9+9)/9))))
13,3 5 5 6 7 7,(3*(5-(5+(6-(7+7)))))
14,3 3 3 3 4 6,((3*(3-(3*(4-6))))-3)
15,3 8 8 9 9 10,(((8*((9+10)-9))-8)/3)
16,8 9 9 11 11 11,(8+(9+(9-((11+11)/11))))
17,4 6 6 6 10 11,((6-(6*(6-(10+11))))/4)
18,6 6 6 6 7 10,((6+(6*(6+(7+10))))/6)
19,3 3 6 9 10 11,(3-(3+(6-(9+(10+11)))))
20,3 5 8 9 10 10,(3*(5-(8+(9-(10+10)))))
21,4 5 8 8 9 10,(4+(5+(8+(8+(9-10)))))
22,7 7 7 10 10 11,(((7+(10+(10+11)))-7)-7)
23,4 6 7 7 7 10,(((7*(7+(7+10)))/6)-4)
24,6 6 7 10 11 11,((6*(((11+11)-10)-7))-6)
25,3 5 7 7 8 10,(((7+(7+(8+10)))-5)-3)
26,3 5 5 7 7 11,(3+(5+(5-(7-(7+11)))))
27,3 8 9 9 10 10,(3*(8+(9-(9+(10-10)))))
28,6 7 7 8 8 9,(((7+((8+8)*9))-7)/6)
29,4 7 9 10 11 11,((7+(9-(10-(11+11))))-4)
30,5 8 9 9 11 11,((8-((9/9)-(11+11)))-5)
31,3 3 7 9 11 11,(3-(3+(7-(9+(11+11)))))
32,4 4 6 6 6 10,(4+(4-(6-(6+(6+10)))))
33,3 4 4 10 10 10,(3*(4*(4*(10/(10+10)))))
34,3 5 7 7 9 11,(3+(5+(7+(7-(9-11)))))
35,3 3 3 5 8 9,((3*(((8+9)-5)-3))-3)
36,3 5 5 8 11 11,(3*((5+(8+(11-11)))-5))
37,4 4 4 8 8 9,(((4*(8+(8+9)))-4)/4)
38,5 5 5 6 11 11,(5*(5-((6/5)-(11/11))))
39,3 3 3 4 4 8,(3*(3-(3+(4-(4+8)))))
40,3 6 6 8 8 11,(((6+(8+(8+11)))-6)-3)
41,3 8 9 9 11 11,(3*(8+(9-(9+(11-11)))))
42,5 5 5 7 7 9,((5+(5*(7+(7+9))))/5)
43,5 5 8 10 10 10,((((10*(10*10))/8)-5)/5)
44,3 3 7 8 8 10,(3*((7-(8/(8-10)))-3))
45,3 3 3 5 9 10,(3*((((9+10)-5)-3)-3))
46,6 7 8 8 9 9,(((8-7)*(8*(9+9)))/6)
47,3 3 3 4 5 9,(3-(3*(3+(4-(5+9)))))
48,3 6 8 8 10 11,((6-(8-(8+(10+11))))-3)
49,3 4 6 6 6 11,(3+(4-(6-(6+(6+11)))))
50,6 6 8 9 9 11,(6-(6*(8+(9-(9+11)))))
51,3 3 4 4 6 10,((3+(4+(4+(6+10))))-3)
52,5 6 7 7 7 9,(((7*(7+(7-9)))-6)-5)
53,4 4 6 7 7 8,(4+(4-(6-(7+(7+8)))))
54,4 6 8 8 9 11,(4/(6/(8+(8+(9+11)))))
55,4 7 9 9 9 10,(4*(7+(9+(9-(9+10)))))
56,5 6 6 8 10 11,(((6+(8+(10+11)))-6)-5)
57,5 5 6 7 9 10,(5+(5+(6+(7-(9-10)))))
58,4 7 8 8 11 11,(4*(7-(8/(8+(11-11)))))
59,3 7 8 8 8 10,(((8+(8+(8+10)))-7)-3)
60,5 9 10 11 11 11,((9+(10/(11/(11+11))))-5)
61,5 7 9 11 11 11,((7-((9*11)-(11*11)))-5)
62,4 4 7 7 8 8,(4+(4-(7-(7+(8+8)))))
63,5 6 6 7 7 10,(((6*(7*(10-7)))-6)/5)
64,4 5 5 5 5 6,(4*(((5+(5+6))-5)-5))
65,6 7 10 11 11 11,((7-(10-(11+(11+11))))-6)
