Rank,Puzzles,Solutions
1,1 3 3 6 8 9 9 10 11 13 14 14 15 16 16 17 18 19 19 20,(1/(3*(3/(6+(8-(9-(9+(10+(11+(13+(14+(14+(15+(16+(16+(17+(18+(19+(19+20)))))))))))))))))))
2,1 1 4 7 7 8 9 9 9 10 12 12 14 15 15 16 16 16 18 19,(1*(1-(4-((7-(8-(9+(9+(9+(10+(12+(12+(14+(15+(15+(16+(16+(16+(18+19)))))))))))))))/7))))
3,1 1 2 2 2 3 5 8 8 9 11 12 14 14 15 18 18 18 19 20,(1/(1*(2*(2*(2/(3+(5+(8+(8+(9+(11+(12+(14+(14+(15+(18+(18+(18+(19+20)))))))))))))))))))
4,1 2 3 3 4 5 6 7 8 9 9 10 10 11 12 15 15 17 18 18,(1+((3+(3-((5-(6+(7+(8+(9+(9+(10+(10+(11+(12+(15+(15+(17+(18+18))))))))))))))/4)))/2))
5,3 4 4 5 5 6 6 6 6 8 8 8 11 13 14 14 14 14 17 17,(3-(4+(4+((5+(6-(6+(6+(6+(8+(8+(8+(11+(13+(14+(14+(14+(14+(17+17)))))))))))))))/5))))
6,1 1 2 3 3 4 5 6 6 7 9 9 12 14 15 16 18 19 20 20,(1+(1+(2+(((4+(5+(6+(6+(7+(9+(9+(12+(14+(15+(16+(18+(19+(20+20))))))))))))))/3)/3))))
7,1 2 3 4 5 7 7 8 10 11 11 11 12 12 16 17 17 18 18 19,(1*(2*(3-(((7-(7+(8+(10+(11+(11+(11+(12+(12+(16+(17+(17+(18+(18+19))))))))))))))/5)/4))))
8,1 3 5 6 7 10 12 13 14 14 14 14 15 16 17 17 18 19 20 20,(1*(3/(5*(6/(7+(10+(12+(13+(14+(14+(14+(14+(15+(16+(17+(17+(18+(19+(20+20)))))))))))))))))))
9,1 2 3 3 4 4 5 6 7 8 10 11 12 13 14 14 17 18 18 19,(((3+(3+((4+(5+(6+(7+(8+(10+(11+(12+(13+(14+(14+(17+(18+(18+19))))))))))))))/4)))/2)-1)
10,1 3 3 6 7 10 10 11 12 12 12 13 14 14 15 16 16 18 19 20,((((6+(7+(10+(10+(11+(12+(12+(12+(13+(14+(14+(15+(16+(16+(18+(19+20))))))))))))))))/3)/3)-1)
