Rank,Puzzles,Solutions
1,3 9 15 16,(3*(9+(15-16)))
2,2 12 14 17,(14-(2*(12-17)))
3,6 8 15 18,((6*(15-8))-18)
4,2 3 16 19,(16-((3-19)/2))
5,4 14 17 17,(4-(14-(17+17)))
6,5 10 14 15,(5-(10-(14+15)))
7,1 8 9 18,((1+(18/9))*8)
8,1 9 15 15,(((15*15)/9)-1)
9,3 3 7 11,(3+(3+(7+11)))
10,5 6 7 18,(5-(6-(7+18)))
11,7 18 19 19,(7+(18-(19/19)))
12,12 14 14 17,(17-(14/(12-14)))
13,2 2 5 18,((2*(18-5))-2)
14,2 6 9 17,((6*(17-9))/2)
15,9 10 12 17,(9+(10-(12-17)))
16,3 8 10 11,(3*(8*(11-10)))
17,1 1 13 13,(((13+13)-1)-1)
18,1 3 5 8,(1+((3*5)+8))
19,13 14 15 17,((13*(17-14))-15)
20,1 3 8 13,(1*(3+(8+13)))
21,1 1 9 15,((1+(9+15))-1)
22,9 9 9 15,((9+(9+15))-9)
23,9 13 13 14,(9+((13/13)+14))
24,3 4 11 19,(((4+11)/3)+19)
25,1 4 16 19,(1+((16/4)+19))
26,4 4 9 16,((4*(16-9))-4)
27,1 4 9 16,(((1+9)*4)-16)
28,1 8 12 19,(1-(8-(12+19)))
29,6 7 14 17,(6*(7+(14-17)))
30,2 2 16 18,(((16/2)+18)-2)
31,5 9 14 14,(5-(9-(14+14)))
32,5 6 10 19,(((19-10)-5)*6)
33,6 6 8 10,(6*(6+(8-10)))
34,3 3 13 17,(((13+17)-3)-3)
35,6 6 11 15,((6*15)-(6*11))
36,8 9 10 14,((9-8)*(10+14))
37,2 2 8 19,(2-(2*(8-19)))
38,2 5 15 19,(2+((15/5)+19))
39,3 6 13 14,(3-(6-(13+14)))
40,3 6 12 18,((12*18)/(3+6))
41,9 16 18 19,(9+(16+(18-19)))
42,2 5 8 16,(((8-5)*16)/2)
43,4 9 14 15,(4-(9-(14+15)))
44,1 2 7 12,(12-((1-7)*2))
45,2 8 16 16,((2-(8/16))*16)
46,5 5 12 13,((5*5)+(12-13))
47,7 16 16 16,(7+(16+(16/16)))
48,2 4 5 14,(((4*5)/2)+14)
49,4 4 12 17,(4-(4*(12-17)))
50,8 8 15 17,(8-(8*(15-17)))
51,5 8 12 14,((5+(12-14))*8)
52,4 4 8 19,((19-(4*4))*8)
53,3 10 14 18,(((14-10)*18)/3)
54,2 3 14 15,(((14+15)-3)-2)
55,5 7 8 16,((5+7)/(8/16))
56,3 9 18 19,(3*(9+(18-19)))
57,6 6 14 16,(6*(6+(14-16)))
58,2 3 7 12,(2+(3+(7+12)))
59,6 10 17 19,((6*10)-(17+19))
60,1 6 8 16,(((6-1)*8)-16)
61,3 9 11 16,(3/((11-9)/16))
62,1 10 12 15,(12/((15/10)-1))
63,6 6 6 17,(6+((6/6)+17))
64,3 13 14 19,(3*(13+(14-19)))
65,8 9 9 17,(8-((9/9)-17))
66,1 9 16 16,(1-(9-(16+16)))
67,2 2 4 10,(2*((4+10)-2))
68,4 16 16 16,(((16+16)/4)+16)
69,6 9 14 17,((9*14)-(6*17))
70,2 4 15 18,(2*(4*(18-15)))
71,2 6 7 13,((6+(7+13))-2)
72,1 2 10 13,((2+(10+13))-1)
73,3 5 13 13,(3-(5-(13+13)))
74,10 15 18 19,(10+(15+(18-19)))
75,8 15 16 18,((8-16)*(15-18))
76,1 2 6 15,(1+(2+(6+15)))
77,3 5 5 14,((3*5)-(5-14))
78,3 5 8 19,(3+((5*8)-19))
79,6 12 14 18,((6-12)*(14-18))
80,2 7 15 19,(((15+19)/2)+7)
81,3 4 9 15,(3+((4*9)-15))
82,3 8 13 14,(3*(8*(14-13)))
83,2 7 8 16,(((7-2)*8)-16)
84,1 5 6 16,((6*16)/(5-1))
85,3 7 7 7,(3+(7+(7+7)))
86,9 9 12 18,(9+(9-(12-18)))
87,1 4 7 12,(1+(4+(7+12)))
88,2 10 16 16,(2-(10-(16+16)))
89,3 7 9 16,(3/((9-7)/16))
90,5 6 6 6,((5-(6/6))*6)
91,7 9 10 15,((7+9)/(10/15))
92,5 10 11 14,((5-11)*(10-14))
93,2 2 14 14,(((14+14)-2)-2)
94,5 7 7 19,(5-(7-(7+19)))
95,1 7 8 9,(1*(7+(8+9)))
96,5 6 8 15,((6+(8+15))-5)
97,7 13 13 18,(7-((13/13)-18))
98,4 5 8 15,((5+(8+15))-4)
99,6 16 16 18,(6-(16-(16+18)))
100,12 12 16 16,(12+(12+(16-16)))
101,2 11 17 19,(2-(11*(17-19)))
102,2 6 10 14,((2*14)+(6-10))
103,2 6 13 19,(((13+19)-6)-2)
104,3 12 14 18,(3*(12+(14-18)))
105,2 5 6 12,(2*((6-5)*12))
106,4 8 9 12,(4*(8*(9/12)))
107,2 6 6 16,((6*16)/(6-2))
108,3 11 18 19,((3*18)-(11+19))
109,8 15 19 19,(8+(15+(19/19)))
110,1 3 3 3,((1+3)*(3+3))
111,1 12 12 15,(((15-12)-1)*12)
112,7 8 12 13,(7-(8-(12+13)))
113,1 3 14 17,(((3*14)-17)-1)
114,9 11 14 17,((11*(17-14))-9)
115,11 11 16 18,(11+(11-(16-18)))
116,8 14 16 17,((8*(14/16))+17)
117,7 16 19 19,(7+(16+(19/19)))
118,4 4 6 15,(6/(4-(15/4)))
119,10 13 15 16,(10+(13-(15-16)))
120,2 9 15 15,((2*15)+(9-15))
121,1 4 6 15,((4+(6+15))-1)
122,4 12 17 19,(4*(12/(19-17)))
123,7 9 13 16,((9*16)/(13-7))
124,3 10 12 14,(3*(10+(12-14)))
125,6 7 8 11,(6*(7+(8-11)))
126,3 7 8 19,(((7+8)/3)+19)
127,11 13 13 13,(11-(13-(13+13)))
128,3 10 15 19,((10+19)-(15/3))
129,6 7 11 16,(6/((11-7)/16))
130,6 6 12 12,((6+(12+12))-6)
131,4 6 8 8,((6*(8+8))/4)
132,7 9 9 18,(7-((9/9)-18))
133,8 9 14 16,((8*(14-9))-16)
134,2 12 15 16,(2*(12*(16-15)))
135,5 9 11 13,((5-11)*(9-13))
136,4 5 7 18,(4-(5-(7+18)))
137,7 12 13 17,(7-((12-13)*17))
138,4 8 12 13,((12/4)+(8+13))
139,12 15 18 18,(((15*18)+18)/12)
140,2 4 6 11,(2-((4-6)*11))
141,4 7 9 11,(((7-4)*11)-9)
142,2 8 10 10,(2*((10+10)-8))
143,2 4 9 16,((9*16)/(2+4))
144,12 14 15 16,(12*((14+16)/15))
145,4 7 8 15,((4*(15-7))-8)
146,4 11 12 14,((12*14)/(11-4))
147,9 10 13 16,((9-13)*(10-16))
148,7 7 12 12,((7+(12+12))-7)
149,1 11 15 19,(1-(11-(15+19)))
150,2 7 7 8,(2+(7+(7+8)))
151,8 8 9 11,(8-(8*(9-11)))
152,8 8 12 16,((8*(16-12))-8)
153,8 17 19 19,(8+(17-(19/19)))
154,5 8 9 13,((5*9)-(8+13))
155,1 1 10 14,((1+(10+14))-1)
156,3 9 12 13,(3*(9+(12-13)))
157,1 5 9 19,(1-(5-(9+19)))
158,5 6 7 7,((5-(7/7))*6)
159,3 9 15 18,((9*(18-15))-3)
160,2 3 4 11,(2*((4+11)-3))
161,8 9 13 19,(8*(9+(13-19)))
162,2 2 5 7,((2*5)+(2*7))
163,6 8 12 15,((6/(8/12))+15)
164,2 12 14 19,((12+19)-(14/2))
165,4 6 6 15,((6+(6*15))/4)
166,2 3 13 16,(((13+16)-3)-2)
167,2 11 15 15,(2*(11+(15/15)))
168,9 14 15 16,(9+(14-(15-16)))
169,4 14 17 19,((14*(19-17))-4)
170,5 10 14 17,((5/(10/14))+17)
171,5 6 11 18,((5*18)-(6*11))
172,3 3 14 16,(((14+16)-3)-3)
173,3 3 7 13,(3*((3*7)-13))
174,2 14 15 16,((15+16)-(14/2))
175,3 3 10 18,((3*18)-(3*10))
176,5 11 14 18,((5-11)*(14-18))
177,12 14 14 19,(((14-12)*19)-14)
178,1 3 12 13,(1+((3*12)-13))
179,2 6 9 19,(2-(6-(9+19)))
180,10 14 19 19,(10+(14+(19-19)))
181,12 17 18 18,(((17*18)-18)/12)
182,4 10 15 18,((4/(10/15))+18)
183,1 3 5 10,(((3*5)+10)-1)
184,9 9 13 15,((9-13)*(9-15))
185,13 14 15 19,(((15-13)*19)-14)
186,1 3 8 15,(15/(1-(3/8)))
187,7 8 15 16,(7+((16/8)+15))
188,1 1 9 17,(((9+17)-1)-1)
189,4 13 14 19,(4-(13-(14+19)))
190,7 10 10 16,(7+((10/10)+16))
191,9 13 13 16,(9-((13/13)-16))
192,1 8 8 10,((1-(8-10))*8)
193,3 16 17 19,(3*(16/(19-17)))
194,12 13 16 17,(12+(13+(16-17)))
195,4 4 9 18,(4*(4+(18/9)))
196,1 4 9 18,(1-(4-(9+18)))
197,4 8 13 14,((4+(13-14))*8)
198,8 11 13 15,(((11-8)*13)-15)
199,4 7 7 7,(4*(7-(7/7)))
200,1 3 18 19,(((18/3)+19)-1)
201,2 8 11 11,((2+(11/11))*8)
202,5 5 7 8,((5*5)+(7-8))
203,2 14 14 19,(14-(2*(14-19)))
204,3 14 15 15,((14+15)-(15/3))
205,6 11 11 12,((12/6)+(11+11))
206,1 3 11 16,(1*((11+16)-3))
207,4 4 8 8,(4+(4+(8+8)))
208,2 5 8 18,(2+((5*8)-18))
209,4 9 14 17,(4*(9+(14-17)))
210,1 2 7 14,(1+(2+(7+14)))
211,7 16 16 18,(7-((16/16)-18))
212,2 9 12 14,((12*14)/(9-2))
213,2 8 8 19,((19-(2*8))*8)
214,4 4 12 19,((4*(19-12))-4)
215,4 12 14 18,(4-(12-(14+18)))
216,8 8 15 19,((8*(19-15))-8)
217,9 15 19 19,(9+(15+(19-19)))
218,8 8 8 16,((8+(8+16))-8)
219,6 8 10 11,(((11-8)*10)-6)
220,6 8 13 16,((6+(13-16))*8)
221,2 3 14 17,(((3+17)/2)+14)
222,11 14 18 18,(11+(14-(18/18)))
223,5 7 8 18,(5-(7-(8+18)))
224,6 6 14 18,(((14-6)*18)/6)
225,2 3 7 14,((2*14)+(3-7))
226,4 7 13 13,(4*(7-(13/13)))
227,1 6 8 18,(1/(6/(8*18)))
228,4 6 9 18,(4/((9-6)/18))
229,6 16 17 17,(6-(16-(17+17)))
230,1 10 12 17,(10/((17/12)-1))
231,2 11 18 18,(2*(11+(18/18)))
232,6 6 6 19,(6-((6/6)-19))
233,1 9 16 18,(((16+18)-9)-1)
234,4 16 16 18,((4-16)*(16-18))
235,6 9 14 19,(6*(9+(14-19)))
236,2 6 7 15,((6*(15-7))/2)
237,1 2 10 15,(1-(2-(10+15)))
238,2 8 19 19,((2+(19/19))*8)
239,1 2 6 17,((2+(6+17))-1)
240,3 5 5 16,(((3+5)*5)-16)
241,1 5 11 12,((11-1)/(5/12))
242,3 4 9 17,((9/3)+(4+17))
243,3 8 13 16,(3-(8-(13+16)))
244,2 7 8 18,((2*7)-(8-18))
245,6 8 16 17,(((17-8)*16)/6)
246,7 10 13 19,(((13*19)-7)/10)
247,1 4 7 14,((4+(7+14))-1)
248,2 3 17 18,((17-(18/2))*3)
249,2 10 16 18,(2*(10-(16-18)))
250,1 8 11 13,((1-(11-13))*8)
251,3 7 9 18,(18-(3*(7-9)))
252,7 9 10 17,(7-((9-10)*17))
253,2 2 14 16,(2*((2*14)-16))
254,1 7 8 11,((1+7)*(11-8))
255,5 6 8 17,(5-(6-(8+17)))
256,3 3 11 15,((3+3)*(15-11))
257,4 5 8 17,(4-(5-(8+17)))
258,2 2 7 13,(2+(2+(7+13)))
259,2 6 10 16,(2*(6-(10-16)))
260,3 3 4 12,((3+(3-4))*12)
261,3 6 11 12,(((11-6)-3)*12)
262,2 5 6 14,((2-5)*(6-14))
263,2 6 6 18,((2+6)/(6/18))
264,5 5 10 11,((5*5)+(10-11))
265,3 4 12 18,(3+((12/4)+18))
266,7 8 12 15,((8*15)/(12-7))
267,1 3 14 19,(1+((3*14)-19))
268,9 11 14 19,(((11-9)*19)-14)
269,1 11 16 18,(1-(11-(16+18)))
270,6 15 17 18,((6-18)*(15-17))
271,8 14 16 19,((8*(19-14))-16)
272,14 14 14 18,(14+(14+(14-18)))
273,4 4 10 15,(4-(4*(10-15)))
274,4 5 7 7,(4*(5+(7/7)))
275,5 8 10 12,((5+(10-12))*8)
276,4 4 6 17,((4/4)+(6+17))
277,1 4 6 17,((17-1)/(4/6))
278,3 10 12 16,(3/((12-10)/16))
279,5 16 17 18,(5-(16-(17+18)))
280,6 6 12 14,(6*(6+(12-14)))
281,1 6 7 10,(1+(6+(7+10)))
282,8 9 14 18,(8+((18/9)+14))
283,2 12 15 18,(18-(2*(12-15)))
284,5 9 11 15,(((11*15)/5)-9)
285,7 12 13 19,((7+19)*(12/13))
286,3 6 17 18,((3-(17-18))*6)
287,6 10 11 19,(6+(10-(11-19)))
288,6 9 12 15,(6-(9-(12+15)))
289,4 7 16 16,(4*(7-(16/16)))
290,3 5 11 11,((5+(11+11))-3)
291,2 5 5 17,((2*17)-(5+5))
292,10 11 13 14,((11*14)-(10*13))
293,2 4 6 13,(((6-4)*13)-2)
294,2 8 10 12,((2*(8+10))-12)
295,10 15 16 17,(10+(15+(16-17)))
296,12 14 15 18,(15-(18/(12-14)))
297,1 2 4 13,((1-13)*(2-4))
298,4 7 8 17,((4+17)/(7/8))
299,4 11 12 16,((11+16)-(12/4))
300,3 5 6 17,(((17-5)*6)/3)
301,3 4 8 9,(3+(4+(8+9)))
302,1 2 13 18,(1+((2*18)-13))
303,9 10 13 18,(9+(10-(13-18)))
304,3 8 11 12,(3*(8*(12-11)))
305,2 7 7 10,((2+(10/7))*7)
306,8 8 9 13,((8*(13-9))-8)
307,8 8 12 18,((8+8)/(12/18))
308,5 8 9 15,(5*(8*(9/15)))
309,11 13 16 16,(11+(13+(16-16)))
310,9 13 14 15,(9-((13-14)*15))
311,5 7 10 11,(((10-5)*7)-11)
312,4 6 11 11,((6+(11+11))-4)
313,6 17 17 18,(6-(17-(17+18)))
314,2 12 18 19,(2*(12*(19-18)))
315,3 9 12 15,((9*(15-12))-3)
316,5 6 7 9,(6-((5-7)*9))
317,2 3 4 13,(2*(3-(4-13)))
318,2 2 5 9,(2*((5+9)-2))
319,4 6 6 17,(((6*17)-6)/4)
320,3 3 3 4,(3+(3*(3+4)))
321,2 11 15 17,(2-(11*(15-17)))
322,9 14 15 18,((9-15)*(14-18))
323,1 9 10 12,((1-(9-10))*12)
324,7 11 13 18,((7*(18-13))-11)
325,3 12 12 16,(3*(12+(12-16)))
326,6 9 11 18,(((11*18)/6)-9)
327,3 3 14 18,((3+3)*(18-14))
328,12 14 18 19,((14*18)-(12*19))
329,8 15 17 17,(8+(15+(17/17)))
330,3 3 7 15,((3*15)-(3*7))
331,5 11 11 15,((5-11)*(11-15))
332,1 3 12 15,(1*((12+15)-3))
333,10 14 16 16,(10+(14+(16-16)))
