Rank,Puzzles,Solutions
1,1 2 2 6 8 10 14 20 21 22 23 23 25 30 31 33 35 35 37 39,(1*(2-(2*(6-((10*(14+(20+(21+(22+(23+(23+(25+(30+(31+(33+(35+(35+(37+39))))))))))))))/8)))))
2,1 3 3 4 7 8 8 10 12 18 20 20 23 24 24 25 26 28 31 39,(1*(3-(3*(4-(7+(8+(8+(10+(12+(18+(20+(20+(23+(24+(24+(25+(26+(28+(31+39)))))))))))))))))))
3,3 4 5 5 7 13 16 18 20 24 25 27 27 27 29 32 33 35 36 36,(3*(4/(5/((7+(13+(16+(18+(20+(24+(25+(27+(27+(27+(29+(32+(33+(35+(36+36)))))))))))))))-5))))
4,3 3 7 7 8 8 9 9 9 11 14 17 21 21 27 28 29 29 32 39,((3*(((8*((9+(9+(9+(11+(14+(17+(21+(21+(27+(28+(29+(29+(32+39)))))))))))))-8))/7)-7))-3)
5,2 3 5 8 10 13 16 18 20 20 22 27 29 29 30 33 34 34 39 39,((3*(5+((10+(13*(16+(18+(20+(20+(22+(27+(29+(29+(30+(33+(34+(34+(39+39)))))))))))))))/8)))/2)
6,2 2 7 14 17 19 22 26 28 29 29 32 32 34 35 36 38 39 39 40,(2*((7+(14-(17-(19+(22+(26+(28+(29+(29+(32+(32+(34+(35+(36+(38+(39+(39+40)))))))))))))))))-2))
7,2 2 5 5 6 6 7 12 13 14 17 17 19 22 24 26 29 38 39 40,((2+(5+(5+(6+(6*(7+(12+(13+(14+(17+(17+(19+(22+(24+(26+(29+(38+(39+40))))))))))))))))))/2)
8,2 2 3 3 3 4 6 6 11 16 17 22 23 23 28 30 32 34 34 37,(((3+(3*(3+(4*(6+(6+(11+(16+(17+(22+(23+(23+(28+(30+(32+(34+(34+37)))))))))))))))))/2)/2)
9,1 2 2 3 3 7 9 10 11 14 15 15 19 20 26 28 30 34 39 39,((2+(2+(3*(3+(7+(9+(10+(11+(14+(15+(15+(19+(20+(26+(28+(30+(34+(39+39))))))))))))))))))-1)
10,3 4 6 7 8 9 11 13 16 17 18 21 26 26 28 28 30 36 36 40,(3*(4-(6+(7+(8+(9-(11+(13+(16+(17+(18+(21+(26+(26+(28+(28+(30+(36+(36+40)))))))))))))))))))
11,2 4 5 7 12 13 19 22 26 28 28 30 31 31 32 35 36 38 38 38,((4*(5+(7+((13*(19+(22+(26+(28+(28+(30+(31+(31+(32+(35+(36+(38+(38+38))))))))))))))/12))))/2)
12,3 5 6 7 8 10 14 14 16 17 22 23 23 24 24 27 35 38 38 39,(3*(5+(6*(7+((10+(14+(14+(16+(17+(22+(23+(23+(24+(24+(27+(35+(38+(38+39))))))))))))))/8)))))
13,1 3 3 5 6 9 10 16 19 19 23 24 28 28 30 31 33 35 35 40,(1+(3*(3+(5*((9+(10+(16+(19+(19+(23+(24+(28+(28+(30+(31+(33+(35+(35+40))))))))))))))/6)))))
14,4 6 7 8 9 9 9 11 11 11 13 16 16 18 19 21 27 27 28 38,(4*((7-(8+(9+(9-(9+(11+(11+(11+(13+(16+(16+(18+(19+(21+(27+(27+(28+38)))))))))))))))))-6))
15,1 1 3 7 7 8 11 15 15 18 19 23 24 29 30 31 34 36 37 37,((((7+(7+(8*(11+(15+(15+(18+(19+(23+(24+(29+(30+(31+(34+(36+(37+37))))))))))))))))/3)-1)-1)
16,2 3 4 4 13 14 14 16 16 16 18 18 22 27 29 31 35 37 38 40,(2/(3/(4*(4+(13-(14-(14+(16+(16+(16+(18+(18+(22+(27+(29+(31+(35+(37+(38+40)))))))))))))))))))
17,2 6 10 15 17 17 19 20 20 21 25 26 26 29 29 30 30 32 34 38,((6*(((((19+(20+(20+(21+(25+(26+(26+(29+(29+(30+(30+(32+(34+38)))))))))))))-17)-17)-15)-10))/2)
18,1 6 10 14 15 20 21 21 23 23 26 26 29 30 32 32 33 34 37 39,(((((15*((21+(21+(23+(23+(26+(26+(29+(30+(32+(32+(33+(34+(37+39)))))))))))))-20))-14)-10)/6)-1)
19,1 2 6 9 9 9 15 15 15 18 18 19 20 24 26 26 27 31 34 40,(1*(2/(6/(9-(9*(9-(15+(15+(15+(18+(18+(19+(20+(24+(26+(26+(27+(31+(34+40)))))))))))))))))))
20,2 2 3 3 4 4 13 15 17 20 20 22 28 28 29 29 31 32 38 39,(2+(2*(3-((4*(4-(13+(15+(17+(20+(20+(22+(28+(28+(29+(29+(31+(32+(38+39)))))))))))))))/3))))
21,2 4 4 5 7 10 16 19 20 22 24 24 29 31 31 31 31 33 33 37,((4-(4+(5*(7-(10+(16+(19+(20+(22+(24+(24+(29+(31+(31+(31+(31+(33+(33+37))))))))))))))))))/2)
22,1 3 6 7 8 13 13 17 19 28 29 31 33 35 36 36 38 38 39 40,(((6-(7*(8+(13-(13+(17+(19+(28+(29+(31+(33+(35+(36+(36+(38+(38+(39+40)))))))))))))))))/3)-1)
23,2 3 3 5 8 8 12 15 15 16 16 19 22 22 29 33 38 38 38 40,(((3-(5-(8*(8+(12+(15+(15+(16+(16+(19+(22+(22+(29+(33+(38+(38+(38+40)))))))))))))))))/3)-2)
24,3 3 5 10 12 12 13 13 13 14 18 19 24 25 25 26 28 37 38 39,(3*(3-(5+(10+(12-(12+(13+(13+(13+(14+(18+(19+(24+(25+(25+(26+(28+(37+(38+39)))))))))))))))))))
25,1 1 2 3 3 5 7 9 13 14 15 16 20 24 25 29 35 38 38 40,(1*(((3*(3-(5-(7+(9+(13+(14+(15+(16+(20+(24+(25+(29+(35+(38+(38+40))))))))))))))))-2)-1))
26,3 4 5 10 11 13 13 14 16 16 20 22 22 22 22 22 27 27 30 32,(3*((5-(10-(11+(13+(13+(14+(16+(16+(20+(22+(22+(22+(22+(22+(27+(27+(30+32)))))))))))))))))-4))
27,4 4 8 9 10 14 20 24 25 26 26 26 27 30 32 33 35 37 38 39,(4*(4/(8*(9/(10*(14+(20+(24+(25+(26+(26+(26+(27+(30+(32+(33+(35+(37+(38+39)))))))))))))))))))
28,3 6 7 9 10 10 10 14 15 19 21 25 25 28 28 28 32 38 39 40,(3*((((((10+(14+(15+(19+(21+(25+(25+(28+(28+(28+(32+(38+(39+40)))))))))))))-10)-10)-9)-7)-6))
29,1 3 7 7 8 9 10 12 13 16 17 19 22 25 25 27 28 32 36 37,(1*(3*(7-(7+(8-(9+(10+(12+(13+(16+(17+(19+(22+(25+(25+(27+(28+(32+(36+37)))))))))))))))))))
30,2 3 5 6 6 7 7 9 13 14 15 19 22 27 27 28 28 29 34 35,(2/(3/(5*((((7+(9+(13+(14+(15+(19+(22+(27+(27+(28+(28+(29+(34+35)))))))))))))-7)-6)-6))))
31,1 3 5 6 8 10 10 11 13 18 20 22 22 25 28 33 35 36 38 38,(((5+(6+(8*(10+(10+(11+(13+(18+(20+(22+(22+(25+(28+(33+(35+(36+(38+38)))))))))))))))))/3)-1)
