Rank,Puzzles,Solutions
1,24 276 538 579 762 828 962 1457 1497 1647 2655 2722 3471 3664 3792 4038 4053 4201 4260 4551 4622 4670 4690 4711 5036 5224 5460 6080 6186 6256 6667 6840 7194 7627 8590 9377 9749 9931 10005 10145 10181 10558 10598 10677 11125 11187 11229 11266 11647 11907 12678 12759 13019 13516 13839 13928 14148 14205 14476 14615 15183 15528 15770 16669 16940 17058 17162 17201 17223 17243 17303 17367 17420 17842 17878 19070 19271 19304 19781 19911,(24+(276/(538*(579+(762+(828+(962+(1457+(1497+(1647+(2655+(2722+(3471+(3664+(3792+(4038+(4053+(4201+(4260+(4551+(4622+(4670+(4690+(4711+(5036+(5224+(5460+(6080+(6186+(6256+(6667+(6840+(7194+(7627+(8590+(9377+(9749+(9931+(10005+(10145+(10181+(10558+(10598+(10677+(11125+(11187+(11229+(11266+(11647+(11907+(12678+(12759+(13019+(13516+(13839+(13928+(14148+(14205+(14476+(14615+(15183+(15528+(15770+(16669+(16940+(17058+(17162+(17201+(17223+(17243+(17303+(17367+(17420+(17842+(17878+(19070+(19271+(19304+(19781+19911)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
2,359 383 682 1174 1182 1279 1407 1749 1904 1919 2161 3162 3243 3350 3495 3871 3896 4202 4644 4826 4978 5434 5785 6040 6235 6329 6451 6461 6580 6916 7104 7282 7980 7982 8159 8318 8373 8787 8911 9001 9024 9519 9683 10226 10674 10738 10970 11087 11096 11201 12133 12616 13059 13431 13566 13613 14041 14160 14305 14307 14362 14471 14504 14901 14965 15088 15917 16240 16304 16823 16949 17006 17678 17732 18404 18690 18827 19112 19138 19768,((383+(682/(1174*(1182+(1279+(1407+(1749+(1904+(1919+(2161+(3162+(3243+(3350+(3495+(3871+(3896+(4202+(4644+(4826+(4978+(5434+(5785+(6040+(6235+(6329+(6451+(6461+(6580+(6916+(7104+(7282+(7980+(7982+(8159+(8318+(8373+(8787+(8911+(9001+(9024+(9519+(9683+(10226+(10674+(10738+(10970+(11087+(11096+(11201+(12133+(12616+(13059+(13431+(13566+(13613+(14041+(14160+(14305+(14307+(14362+(14471+(14504+(14901+(14965+(15088+(15917+(16240+(16304+(16823+(16949+(17006+(17678+(17732+(18404+(18690+(18827+(19112+(19138+19768))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-359)
3,176 200 492 1123 2404 2457 2684 2825 2890 3022 3857 3911 4000 4572 4670 5285 6120 6191 6242 6744 6807 7292 7430 7584 7832 7917 8215 8779 8925 9000 9375 9594 9969 9982 10321 10812 11114 11153 11181 11185 11302 11405 11958 12033 12088 12096 12335 12992 13229 13653 13839 13993 14162 14224 14303 14303 14365 14402 14769 16373 16722 16811 16889 16902 16911 17478 17591 17718 17787 18319 18543 18700 18849 18914 19039 19121 19300 19409 19904 19955,((200+(492/(1123*(2404+(2457+(2684+(2825+(2890+(3022+(3857+(3911+(4000+(4572+(4670+(5285+(6120+(6191+(6242+(6744+(6807+(7292+(7430+(7584+(7832+(7917+(8215+(8779+(8925+(9000+(9375+(9594+(9969+(9982+(10321+(10812+(11114+(11153+(11181+(11185+(11302+(11405+(11958+(12033+(12088+(12096+(12335+(12992+(13229+(13653+(13839+(13993+(14162+(14224+(14303+(14303+(14365+(14402+(14769+(16373+(16722+(16811+(16889+(16902+(16911+(17478+(17591+(17718+(17787+(18319+(18543+(18700+(18849+(18914+(19039+(19121+(19300+(19409+(19904+19955))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-176)
4,23 744 744 862 1062 1430 1512 1702 1843 2250 2292 2337 2417 2509 2841 2955 3037 3697 3811 3951 4577 5139 5322 5337 5507 5954 5990 6137 6539 6809 7048 7378 7684 7828 7912 8244 8375 8614 8681 8706 9329 9463 9622 10052 10137 10274 10662 10963 11120 11291 11315 11335 11770 11972 13048 13108 13397 14006 14263 14453 14806 14957 15630 15740 16072 16223 16658 16781 16917 16929 16996 17293 17628 17664 17896 18020 18548 18756 18913 18983,(23+(744/(744+(862/(1062*(1430+(1512+(1702+(1843+(2250+(2292+(2337+(2417+(2509+(2841+(2955+(3037+(3697+(3811+(3951+(4577+(5139+(5322+(5337+(5507+(5954+(5990+(6137+(6539+(6809+(7048+(7378+(7684+(7828+(7912+(8244+(8375+(8614+(8681+(8706+(9329+(9463+(9622+(10052+(10137+(10274+(10662+(10963+(11120+(11291+(11315+(11335+(11770+(11972+(13048+(13108+(13397+(14006+(14263+(14453+(14806+(14957+(15630+(15740+(16072+(16223+(16658+(16781+(16917+(16929+(16996+(17293+(17628+(17664+(17896+(18020+(18548+(18756+(18913+18983)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
5,256 582 862 1076 1503 1589 1667 2098 2331 2519 2529 2681 3433 3516 3531 3592 3939 4120 4151 4739 5023 5760 6707 6783 6960 7112 7163 7182 7949 8648 8732 8762 9125 9217 9454 9504 9583 10085 10212 10546 10636 10744 11362 11950 12013 12302 12493 12629 12631 12974 13345 13574 13763 13768 13898 13974 14688 14987 15123 15496 15635 15641 15664 16377 16620 16665 16738 17313 17698 18104 18112 18456 18797 19081 19192 19213 19368 19694 19711 19796,(((862+(1076/(1503*(1589+(1667+(2098+(2331+(2519+(2529+(2681+(3433+(3516+(3531+(3592+(3939+(4120+(4151+(4739+(5023+(5760+(6707+(6783+(6960+(7112+(7163+(7182+(7949+(8648+(8732+(8762+(9125+(9217+(9454+(9504+(9583+(10085+(10212+(10546+(10636+(10744+(11362+(11950+(12013+(12302+(12493+(12629+(12631+(12974+(13345+(13574+(13763+(13768+(13898+(13974+(14688+(14987+(15123+(15496+(15635+(15641+(15664+(16377+(16620+(16665+(16738+(17313+(17698+(18104+(18112+(18456+(18797+(19081+(19192+(19213+(19368+(19694+(19711+19796)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-582)-256)
6,24 242 259 628 817 1206 1240 1330 1671 1753 1854 2198 2367 2439 2494 2542 2680 3070 3226 3579 4385 4855 4880 5069 5263 5527 5772 6001 6416 7205 7702 7806 8294 8296 8713 8857 9124 9202 9355 9781 9871 10018 10138 10402 10724 11399 11735 12350 12717 12890 12988 13150 13250 13727 13787 14330 14390 14519 14996 15125 15794 15977 16064 16419 16431 17144 17200 17242 17632 17642 17674 17945 18036 18583 18731 18796 18877 18956 19349 19841,(24+(242/(259+(628*(817+(1206+(1240+(1330+(1671+(1753+(1854+(2198+(2367+(2439+(2494+(2542+(2680+(3070+(3226+(3579+(4385+(4855+(4880+(5069+(5263+(5527+(5772+(6001+(6416+(7205+(7702+(7806+(8294+(8296+(8713+(8857+(9124+(9202+(9355+(9781+(9871+(10018+(10138+(10402+(10724+(11399+(11735+(12350+(12717+(12890+(12988+(13150+(13250+(13727+(13787+(14330+(14390+(14519+(14996+(15125+(15794+(15977+(16064+(16419+(16431+(17144+(17200+(17242+(17632+(17642+(17674+(17945+(18036+(18583+(18731+(18796+(18877+(18956+(19349+19841)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
7,54 271 349 452 1386 1398 1920 2054 2232 2481 2596 2747 3321 3745 3860 3933 4204 4411 5258 5547 5694 5715 6134 6429 6794 7248 7353 7851 8400 8991 9006 9485 9642 9660 9680 9744 9870 10266 10609 10656 10997 11175 11275 11372 11543 11682 11953 12106 12175 12208 12237 12260 12271 12598 12863 13021 13498 13928 14153 14493 14699 15041 15221 15334 15363 15463 15601 17479 17691 17694 17901 18006 18267 18693 18866 19361 19414 19437 19517 19644,(((349+(452/(1386*(1398+(1920+(2054+(2232+(2481+(2596+(2747+(3321+(3745+(3860+(3933+(4204+(4411+(5258+(5547+(5694+(5715+(6134+(6429+(6794+(7248+(7353+(7851+(8400+(8991+(9006+(9485+(9642+(9660+(9680+(9744+(9870+(10266+(10609+(10656+(10997+(11175+(11275+(11372+(11543+(11682+(11953+(12106+(12175+(12208+(12237+(12260+(12271+(12598+(12863+(13021+(13498+(13928+(14153+(14493+(14699+(15041+(15221+(15334+(15363+(15463+(15601+(17479+(17691+(17694+(17901+(18006+(18267+(18693+(18866+(19361+(19414+(19437+(19517+19644)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-271)-54)
8,84 97 205 338 523 966 1288 1999 2181 2359 2401 2587 2686 2834 3417 3476 3478 3568 3619 4889 5235 5710 6138 6403 6611 6921 7121 7287 7728 7948 8629 8905 9203 9271 9326 9394 9533 9889 10336 10797 11529 11614 11636 12001 12077 12190 12402 12489 12668 13309 14081 14154 14452 14464 14465 14486 14524 14949 14978 15067 15354 15455 15592 15618 16213 16299 16679 16683 17343 17379 17813 18191 18474 18664 18674 19021 19329 19498 19504 19793,(((205+(338/(523*(966+(1288+(1999+(2181+(2359+(2401+(2587+(2686+(2834+(3417+(3476+(3478+(3568+(3619+(4889+(5235+(5710+(6138+(6403+(6611+(6921+(7121+(7287+(7728+(7948+(8629+(8905+(9203+(9271+(9326+(9394+(9533+(9889+(10336+(10797+(11529+(11614+(11636+(12001+(12077+(12190+(12402+(12489+(12668+(13309+(14081+(14154+(14452+(14464+(14465+(14486+(14524+(14949+(14978+(15067+(15354+(15455+(15592+(15618+(16213+(16299+(16679+(16683+(17343+(17379+(17813+(18191+(18474+(18664+(18674+(19021+(19329+(19498+(19504+19793)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))-97)-84)
9,95 599 1681 2015 2030 2069 2163 2507 2780 3160 3459 3709 3849 3932 3953 4015 4361 4537 4633 4970 5149 5460 5552 5639 5978 5992 6008 6462 7003 7088 7219 7264 7319 7419 7878 8058 8337 8341 8574 8716 8820 8851 8945 9084 9716 10721 10950 11093 11732 11821 12137 12779 13163 13388 13428 13897 14743 14965 15092 15177 15225 15536 15700 16137 16154 16330 16791 16974 16974 17075 17784 18051 18163 18180 18230 18289 19089 19113 19305 19777,((599+(1681+(2015/(2030*(2069+(2163+(2507+(2780+(3160+(3459+(3709+(3849+(3932+(3953+(4015+(4361+(4537+(4633+(4970+(5149+(5460+(5552+(5639+(5978+(5992+(6008+(6462+(7003+(7088+(7219+(7264+(7319+(7419+(7878+(8058+(8337+(8341+(8574+(8716+(8820+(8851+(8945+(9084+(9716+(10721+(10950+(11093+(11732+(11821+(12137+(12779+(13163+(13388+(13428+(13897+(14743+(14965+(15092+(15177+(15225+(15536+(15700+(16137+(16154+(16330+(16791+(16974+(16974+(17075+(17784+(18051+(18163+(18180+(18230+(18289+(19089+(19113+(19305+19777))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))/95)
10,24 444 554 609 886 1089 1092 2739 3450 3661 4009 4028 4475 4797 5151 5190 5389 5588 6143 6325 6522 7277 7465 7669 7800 7942 8110 8132 8219 8292 8729 9392 9574 9591 9710 9765 10291 10827 11092 11117 11388 11415 11540 11776 12351 12422 12615 12658 13119 13298 13366 13506 14013 14290 14309 14443 14757 14762 14794 14962 15080 15153 15226 15475 15666 16104 16273 16371 16381 16448 16688 16809 17568 17838 18122 18561 18981 19055 19351 19478,(24+(444/(554*(609+(886+(1089+(1092+(2739+(3450+(3661+(4009+(4028+(4475+(4797+(5151+(5190+(5389+(5588+(6143+(6325+(6522+(7277+(7465+(7669+(7800+(7942+(8110+(8132+(8219+(8292+(8729+(9392+(9574+(9591+(9710+(9765+(10291+(10827+(11092+(11117+(11388+(11415+(11540+(11776+(12351+(12422+(12615+(12658+(13119+(13298+(13366+(13506+(14013+(14290+(14309+(14443+(14757+(14762+(14794+(14962+(15080+(15153+(15226+(15475+(15666+(16104+(16273+(16371+(16381+(16448+(16688+(16809+(17568+(17838+(18122+(18561+(18981+(19055+(19351+19478)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
