Rank,Puzzles,Solutions
1,332 356,(356-332)
2,873 897,(897-873)
3,803 827,(827-803)
4,280 304,(304-280)
5,751 775,(775-751)
6,161 185,(185-161)
7,358 382,(382-358)
8,829 853,(853-829)
9,239 263,(263-239)
10,777 801,(801-777)
11,187 211,(211-187)
12,907 931,(931-907)
13,384 408,(408-384)
14,855 879,(879-855)
15,265 289,(289-265)
16,4 6,(4*6)
17,213 237,(237-213)
18,933 957,(957-933)
19,881 905,(905-881)
20,291 315,(315-291)
21,6 144,(144/6)
22,959 983,(983-959)
23,369 393,(393-369)
24,366 390,(390-366)
25,317 341,(341-317)
26,444 468,(468-444)
27,395 419,(419-395)
28,866 890,(890-866)
29,392 416,(416-392)
30,343 367,(367-343)
31,473 497,(497-473)
32,470 494,(494-470)
33,941 965,(965-941)
34,421 445,(445-421)
35,892 916,(916-892)
36,35 840,(840/35)
37,418 442,(442-418)
38,499 523,(523-499)
39,496 520,(520-496)
40,967 991,(991-967)
41,447 471,(471-447)
42,377 401,(401-377)
43,918 942,(942-918)
44,915 939,(939-915)
45,525 549,(549-525)
46,522 546,(546-522)
47,403 427,(427-403)
48,944 968,(968-944)
49,10 34,(34-10)
50,551 575,(575-551)
51,481 505,(505-481)
52,429 453,(453-429)
53,36 60,(60-36)
54,507 531,(531-507)
55,455 479,(479-455)
56,62 86,(86-62)
57,533 557,(557-533)
58,611 635,(635-611)
59,88 112,(112-88)
60,559 583,(583-559)
61,637 661,(661-637)
62,47 71,(71-47)
63,585 609,(609-585)
64,715 739,(739-715)
65,122 146,(146-122)
66,663 687,(687-663)
67,73 97,(97-73)
68,544 568,(568-544)
69,21 45,(45-21)
70,741 765,(765-741)
71,151 175,(175-151)
72,148 172,(172-148)
73,689 713,(713-689)
74,619 643,(643-619)
75,8 192,(192/8)
76,99 123,(123-99)
77,570 594,(594-570)
78,96 120,(120-96)
79,767 791,(791-767)
80,177 201,(201-177)
81,648 672,(672-648)
82,174 198,(198-174)
83,645 669,(669-645)
84,125 149,(149-125)
85,55 79,(79-55)
86,596 620,(620-596)
87,252 276,(276-252)
88,203 227,(227-203)
89,674 698,(698-674)
90,200 224,(224-200)
91,671 695,(695-671)
92,81 105,(105-81)
93,622 646,(646-622)
94,278 302,(302-278)
95,749 773,(773-749)
96,37 888,(888/37)
97,229 253,(253-229)
98,226 250,(250-226)
99,697 721,(721-697)
100,107 131,(131-107)
101,304 328,(328-304)
102,775 799,(799-775)
103,255 279,(279-255)
104,185 209,(209-185)
105,723 747,(747-723)
106,133 157,(157-133)
107,853 877,(877-853)
108,330 354,(354-330)
109,801 825,(825-801)
110,211 235,(235-211)
111,159 183,(183-159)
112,879 903,(903-879)
113,289 313,(313-289)
114,827 851,(851-827)
115,237 261,(261-237)
116,905 929,(929-905)
117,315 339,(339-315)
118,786 810,(810-786)
119,263 287,(287-263)
120,931 955,(955-931)
121,861 885,(885-861)
122,341 365,(365-341)
123,812 836,(836-812)
124,222 246,(246-222)
125,419 443,(443-419)
126,887 911,(911-887)
127,367 391,(391-367)
128,838 862,(862-838)
129,10 240,(240/10)
130,248 272,(272-248)
131,835 859,(859-835)
132,445 469,(469-445)
133,916 940,(940-916)
134,913 937,(937-913)
135,393 417,(417-393)
136,323 347,(347-323)
137,864 888,(888-864)
138,274 298,(298-274)
139,471 495,(495-471)
140,942 966,(966-942)
141,352 376,(376-352)
142,939 963,(963-939)
143,349 373,(373-349)
144,890 914,(914-890)
145,300 324,(324-300)
146,497 521,(521-497)
147,427 451,(451-427)
148,968 992,(992-968)
149,378 402,(402-378)
150,965 989,(989-965)
151,375 399,(399-375)
152,326 350,(350-326)
153,3 21,(3+21)
154,453 477,(477-453)
155,924 948,(948-924)
156,404 428,(428-404)
157,401 425,(425-401)
158,8 32,(32-8)
159,479 503,(503-479)
160,950 974,(974-950)
161,430 454,(454-430)
162,557 581,(581-557)
163,34 58,(58-34)
164,505 529,(529-505)
165,583 607,(607-583)
166,531 555,(555-531)
167,609 633,(633-609)
168,19 43,(43-19)
169,490 514,(514-490)
170,8 16,(8+16)
171,97 121,(121-97)
172,635 659,(659-635)
173,45 69,(69-45)
174,516 540,(540-516)
175,123 147,(147-123)
176,594 618,(618-594)
177,591 615,(615-591)
178,71 95,(95-71)
179,1 25,(25-1)
180,542 566,(566-542)
181,669 693,(693-669)
182,149 173,(173-149)
183,620 644,(644-620)
184,30 54,(54-30)
185,617 641,(641-617)
186,27 51,(51-27)
187,568 592,(592-568)
188,695 719,(719-695)
189,175 199,(199-175)
190,12 288,(288/12)
191,646 670,(670-646)
192,56 80,(80-56)
193,643 667,(667-643)
194,53 77,(77-53)
195,4 28,(28-4)
196,724 748,(748-724)
197,721 745,(745-721)
198,201 225,(225-201)
199,131 155,(155-131)
200,672 696,(696-672)
201,82 106,(106-82)
202,13 312,(312/13)
203,79 103,(103-79)
204,799 823,(823-799)
205,750 774,(774-750)
206,160 184,(184-160)
207,747 771,(771-747)
208,157 181,(181-157)
209,698 722,(722-698)
210,108 132,(132-108)
211,105 129,(129-105)
212,825 849,(849-825)
213,235 259,(259-235)
214,776 800,(800-776)
215,773 797,(797-773)
216,183 207,(207-183)
217,134 158,(158-134)
218,851 875,(875-851)
219,2 48,(48/2)
220,261 285,(285-261)
221,802 826,(826-802)
222,732 756,(756-732)
223,209 233,(233-209)
224,339 363,(363-339)
225,877 901,(901-877)
226,287 311,(311-287)
227,758 782,(782-758)
228,168 192,(192-168)
229,365 389,(389-365)
230,836 860,(860-836)
231,313 337,(337-313)
232,784 808,(808-784)
233,194 218,(218-194)
234,391 415,(415-391)
235,862 886,(886-862)
236,11 13,(11+13)
237,810 834,(834-810)
238,220 244,(244-220)
239,888 912,(912-888)
240,298 322,(322-298)
241,246 270,(270-246)
242,966 990,(990-966)
243,373 397,(397-373)
244,3 8,(3*8)
245,914 938,(938-914)
246,324 348,(348-324)
247,321 345,(345-321)
248,272 296,(296-272)
249,402 426,(426-402)
250,399 423,(423-399)
251,940 964,(964-940)
252,870 894,(894-870)
253,350 374,(374-350)
254,347 371,(371-347)
255,15 360,(360/15)
256,477 501,(501-477)
257,428 452,(452-428)
258,899 923,(923-899)
259,425 449,(449-425)
260,896 920,(920-896)
261,376 400,(400-376)
262,506 530,(530-506)
263,503 527,(527-503)
264,974 998,(998-974)
265,454 478,(478-454)
266,451 475,(475-451)
267,922 946,(946-922)
268,532 556,(556-532)
269,529 553,(553-529)
270,480 504,(504-480)
271,410 434,(434-410)
272,948 972,(972-948)
273,558 582,(582-558)
274,555 579,(579-555)
275,436 460,(460-436)
276,5 120,(120/5)
277,43 67,(67-43)
278,584 608,(608-584)
279,581 605,(605-581)
280,462 486,(486-462)
281,4 96,(96/4)
282,69 93,(93-69)
283,610 634,(634-610)
284,540 564,(564-540)
285,17 41,(41-17)
286,488 512,(512-488)
287,95 119,(119-95)
288,566 590,(590-566)
289,514 538,(538-514)
290,644 668,(668-644)
291,121 145,(145-121)
292,51 75,(75-51)
293,592 616,(616-592)
294,2 26,(26-2)
295,670 694,(694-670)
296,80 104,(104-80)
297,77 101,(101-77)
298,618 642,(642-618)
299,548 572,(572-548)
300,28 52,(52-28)
301,745 769,(769-745)
302,696 720,(720-696)
303,106 130,(130-106)
304,577 601,(601-577)
305,103 127,(127-103)
306,574 598,(598-574)
307,54 78,(78-54)
308,771 795,(795-771)
309,181 205,(205-181)
310,722 746,(746-722)
311,132 156,(156-132)
312,603 627,(627-603)
313,129 153,(153-129)
314,600 624,(624-600)
315,210 234,(234-210)
316,797 821,(821-797)
317,207 231,(231-207)
318,748 772,(772-748)
319,678 702,(702-678)
320,158 182,(182-158)
321,629 653,(653-629)
322,155 179,(179-155)
323,17 408,(408/17)
324,626 650,(650-626)
325,236 260,(260-236)
326,823 847,(847-823)
327,233 257,(257-233)
328,704 728,(728-704)
329,184 208,(208-184)
330,114 138,(138-114)
331,652 676,(676-652)
332,782 806,(806-782)
333,262 286,(286-262)
334,259 283,(283-259)
335,730 754,(754-730)
336,140 164,(164-140)
337,808 832,(832-808)
338,288 312,(312-288)
339,218 242,(242-218)
340,756 780,(780-756)
341,166 190,(190-166)
342,886 910,(910-886)
343,834 858,(858-834)
344,244 268,(268-244)
345,7 168,(168/7)
346,192 216,(216-192)
347,912 936,(936-912)
348,860 884,(884-860)
349,790 814,(814-790)
350,270 294,(294-270)
351,938 962,(962-938)
352,348 372,(372-348)
353,816 840,(840-816)
354,296 320,(320-296)
355,964 988,(988-964)
356,374 398,(398-374)
357,845 869,(869-845)
358,842 866,(866-842)
359,322 346,(346-322)
360,793 817,(817-793)
361,920 944,(944-920)
362,400 424,(424-400)
363,871 895,(895-871)
364,281 305,(305-281)
365,868 892,(892-868)
366,819 843,(843-819)
367,949 973,(973-949)
368,2 12,(2*12)
369,946 970,(970-946)
370,426 450,(450-426)
371,356 380,(380-356)
372,897 921,(921-897)
373,307 331,(331-307)
374,894 918,(918-894)
375,975 999,(999-975)
376,501 525,(525-501)
377,385 409,(409-385)
378,972 996,(996-972)
379,382 406,(406-382)
380,923 947,(947-923)
381,333 357,(357-333)
382,20 480,(480/20)
383,408 432,(432-408)
384,359 383,(383-359)
385,486 510,(510-486)
386,957 981,(981-957)
387,434 458,(458-434)
388,512 536,(536-512)
389,460 484,(484-460)
390,590 614,(614-590)
391,538 562,(562-538)
392,616 640,(640-616)
393,26 50,(50-26)
394,564 588,(588-564)
395,642 666,(666-642)
396,52 76,(76-52)
397,9 216,(216/9)
398,523 547,(547-523)
399,32 768,(768/32)
400,668 692,(692-668)
401,598 622,(622-598)
402,78 102,(102-78)
403,549 573,(573-549)
404,546 570,(570-546)
405,156 180,(180-156)
406,624 648,(648-624)
407,104 128,(128-104)
408,575 599,(599-575)
409,572 596,(596-572)
410,5 19,(5+19)
411,182 206,(206-182)
412,653 677,(677-653)
413,650 674,(674-650)
414,130 154,(154-130)
415,60 84,(84-60)
416,601 625,(625-601)
417,11 35,(35-11)
418,728 752,(752-728)
419,208 232,(232-208)
420,679 703,(703-679)
421,89 113,(113-89)
422,676 700,(700-676)
423,22 528,(528/22)
424,86 110,(110-86)
425,627 651,(651-627)
426,37 61,(61-37)
427,757 781,(781-757)
428,754 778,(778-754)
429,234 258,(258-234)
430,164 188,(188-164)
431,705 729,(729-705)
432,115 139,(139-115)
433,702 726,(726-702)
434,112 136,(136-112)
435,832 856,(856-832)
436,63 87,(87-63)
437,783 807,(807-783)
438,780 804,(804-780)
439,190 214,(214-190)
440,731 755,(755-731)
441,661 685,(685-661)
442,138 162,(162-138)
443,858 882,(882-858)
444,268 292,(292-268)
445,809 833,(833-809)
446,806 830,(830-806)
447,10 14,(10+14)
448,216 240,(240-216)
449,687 711,(711-687)
450,884 908,(908-884)
451,294 318,(318-294)
452,765 789,(789-765)
453,242 266,(266-242)
454,713 737,(737-713)
455,910 934,(934-910)
456,320 344,(344-320)
457,791 815,(815-791)
458,11 264,(264/11)
459,739 763,(763-739)
460,936 960,(960-936)
461,346 370,(370-346)
462,817 841,(841-817)
463,227 251,(251-227)
464,895 919,(919-895)
465,372 396,(396-372)
