Rank,Puzzles,Solutions
1,2 3 6 7 8 10 11 13 15 18 19 20 20 20 22 24 25 34 36 40,(2*(3*((7-(8-(10+(11+(13+(15+(18+(19+(20+(20+(20+(22+(24+(25+(34+(36+40))))))))))))))))-6)))
2,5 8 8 9 11 14 15 19 20 20 28 30 31 33 35 37 37 37 39 39,(5*(8-(8/(9/(11-(14+(15+(19+(20+(20+(28+(30+(31+(33+(35+(37+(37+(37+(39+39)))))))))))))))))))
3,1 1 4 8 10 10 15 18 20 20 21 24 30 30 35 35 35 36 37 38,(1-(1+(4/(8/(10*(10-(15+(18+(20+(20+(21+(24+(30+(30+(35+(35+(35+(36+(37+38)))))))))))))))))))
4,5 5 5 6 13 21 23 23 23 24 25 25 27 34 35 36 36 37 37 39,(5*(5-(5+(6+(13+(21-(23+(23+(23+(24+(25+(25+(27+(34+(35+(36+(36+(37+(37+39)))))))))))))))))))
5,5 7 10 10 16 16 16 17 23 24 28 31 32 34 34 35 38 38 39 40,(5*(7-(10+(10+(16+(16-(16+(17+(23+(24+(28+(31+(32+(34+(34+(35+(38+(38+(39+40)))))))))))))))))))
6,2 3 4 4 4 4 8 10 10 13 17 21 22 23 27 29 34 36 38 38,((3*(((4*((8+(10+(10+(13+(17+(21+(22+(23+(27+(29+(34+(36+(38+38)))))))))))))-4))-4)-4))/2)
7,2 3 4 4 5 6 18 20 20 21 22 22 25 27 30 30 36 37 38 40,(2*(3*(4*(4-((6-(18+(20+(20+(21+(22+(22+(25+(27+(30+(30+(36+(37+(38+40))))))))))))))/5)))))
8,4 5 8 11 12 19 21 21 22 23 27 29 31 33 33 34 36 36 39 40,(4*(5+(8+(11+(12+(19+(21+(21+(22+(23+(27+(29+(31+(33+(33+(34+(36+(36+(39+40)))))))))))))))))))
9,2 7 8 10 11 12 15 15 16 17 20 21 22 22 22 25 26 27 32 37,((7+(8+(10+(11+(12*(15+(15+(16+(17+(20+(21+(22+(22+(22+(25+(26+(27+(32+37))))))))))))))))))/2)
10,1 2 3 5 7 9 10 10 10 13 14 16 19 23 30 34 36 38 38 40,(1*(2*(3*(5-(7+(9-(10+(10+(10+(13+(14+(16+(19+(23+(30+(34+(36+(38+(38+40)))))))))))))))))))
11,5 11 12 14 14 17 19 20 21 23 25 29 29 31 33 33 38 38 39 40,(5*(((((17+(19+(20+(21+(23+(25+(29+(29+(31+(33+(33+(38+(38+(39+40))))))))))))))-14)-14)-12)-11))
12,5 8 11 15 16 20 23 24 25 26 26 26 27 29 34 35 35 36 38 38,(5*((((16-(20-(23+(24+(25+(26+(26+(26+(27+(29+(34+(35+(35+(36+(38+38)))))))))))))))-15)-11)-8))
13,2 4 6 8 14 16 17 18 20 20 21 22 23 26 28 30 30 31 35 36,(2+(4-(6*(8+(14+(16-(17+(18+(20+(20+(21+(22+(23+(26+(28+(30+(30+(31+(35+36)))))))))))))))))))
14,1 3 4 5 6 7 9 9 10 14 15 22 22 24 25 26 30 31 36 39,(1*((4+(5+(6*(7+(9+(9+(10+(14+(15+(22+(22+(24+(25+(26+(30+(31+(36+39)))))))))))))))))-3))
15,2 4 6 8 12 13 13 14 16 17 17 22 25 26 29 30 32 34 37 40,(2+(4-(6*(8+(12+(13-(13+(14+(16+(17+(17+(22+(25+(26+(29+(30+(32+(34+(37+40)))))))))))))))))))
16,2 3 4 4 5 7 10 10 13 16 17 20 21 24 28 28 29 32 33 33,((3*(4*(4-(5-(7+(10+(10+(13+(16+(17+(20+(21+(24+(28+(28+(29+(32+(33+33))))))))))))))))))/2)
17,2 3 6 8 13 20 21 21 22 23 26 29 32 35 36 37 38 39 40 40,(2/(3/(6*(8+(13+(20+(21+(21+(22+(23+(26+(29+(32+(35+(36+(37+(38+(39+(40+40)))))))))))))))))))
18,1 5 7 8 13 14 17 19 19 20 22 24 28 28 29 30 32 33 33 36,(1*(5*(7+(8+(13-(14-(17+(19+(19+(20+(22+(24+(28+(28+(29+(30+(32+(33+(33+36)))))))))))))))))))
19,4 4 12 14 19 20 21 21 22 23 25 28 29 32 33 33 34 34 36 40,(4*(4+(12+(14+(19+(20+(21+(21+(22+(23+(25+(28+(29+(32+(33+(33+(34+(34+(36+40)))))))))))))))))))
20,1 2 3 3 4 6 7 10 15 19 22 22 23 23 34 36 36 37 37 39,(1*(2/(3*(3/(4*(6*(7+(10+(15+(19+(22+(22+(23+(23+(34+(36+(36+(37+(37+39)))))))))))))))))))
21,3 4 6 7 9 12 12 14 15 15 17 19 20 20 27 28 31 31 33 33,(3*(4*(6*((((12+(14+(15+(15+(17+(19+(20+(20+(27+(28+(31+(31+(33+33)))))))))))))-12)/9)-7))))
22,6 8 8 10 11 12 13 15 15 17 19 19 21 22 25 33 35 36 36 39,(6*(((((12+(13+(15+(15+(17+(19+(19+(21+(22+(25+(33+(35+(36+(36+39))))))))))))))-11)-10)-8)-8))
23,1 4 5 8 9 10 12 13 19 19 21 26 27 29 32 34 35 35 37 39,(((5*(8+(9-(10-(12+(13+(19+(19+(21+(26+(27+(29+(32+(34+(35+(35+(37+39)))))))))))))))))-4)-1)
24,5 10 11 12 13 13 15 16 21 22 27 28 28 29 32 34 34 35 39 39,(5*(10-(11-(12-(13+(13-(15+(16+(21+(22+(27+(28+(28+(29+(32+(34+(34+(35+(39+39)))))))))))))))))))
25,5 6 8 9 14 15 16 17 19 23 24 25 27 29 31 32 34 37 38 40,(5*((8-(9-(14-(15-(16+(17+(19+(23+(24+(25+(27+(29+(31+(32+(34+(37+(38+40)))))))))))))))))-6))
