Rank,Puzzles,Solutions
1,1 2 2 3 4 5 5 9 9 11 12 12 13 13 14 14 16 18 19 20,(1*(2-(2+((4*(5-(5+(9+(9+(11+(12+(12+(13+(13+(14+(14+(16+(18+(19+20)))))))))))))))/3))))
2,2 3 3 3 4 4 4 4 9 10 11 14 14 14 16 16 17 18 20 20,((((3-(4*(4-(4+(4+(9+(10+(11+(14+(14+(14+(16+(16+(17+(18+(20+20))))))))))))))))/3)-3)-2)
3,1 1 3 4 5 5 5 5 6 6 6 7 8 8 12 12 14 15 15 18,(1+(1+((4+(5*(5+(5+(5+(6+(6+(6+(7+(8+(8+(12+(12+(14+(15+(15+18))))))))))))))))/3)))
4,1 3 3 4 5 7 7 7 9 13 13 13 14 14 14 16 18 19 19 19,((3+(3-((5*(7-(7+(7+(9+(13+(13+(13+(14+(14+(14+(16+(18+(19+(19+19)))))))))))))))/4)))-1)
5,1 3 4 5 6 6 6 7 8 9 10 11 12 14 15 15 15 17 17 19,(1/(3/(4*(5-(6-(6+(6+(7+(8+(9+(10+(11+(12+(14+(15+(15+(15+(17+(17+19)))))))))))))))))))
6,2 4 4 6 6 7 10 10 11 12 12 13 15 15 16 16 17 18 18 20,(2*(4*((((7+(10+(10+(11+(12+(12+(13+(15+(15+(16+(16+(17+(18+(18+20))))))))))))))-6)/6)-4)))
7,2 4 4 6 7 8 9 11 12 12 13 14 16 16 17 17 17 19 19 20,(2-(4/(4*(6/(7*(8-(9+(11+(12+(12+(13+(14+(16+(16+(17+(17+(17+(19+(19+20)))))))))))))))))))
8,1 2 4 4 6 7 8 8 9 9 9 10 11 12 14 16 18 18 19 20,(1*(2*(4-(4/(6/(7-(8+(8+(9+(9+(9+(10+(11+(12+(14+(16+(18+(18+(19+20)))))))))))))))))))
9,2 2 4 4 6 7 9 12 12 14 16 17 17 17 18 18 18 19 20 20,(2-(2+(4-(4+(6+(7+(9+(12+(12+(14+(16+(17+(17+(17+(18+(18+(18+(19+(20+20)))))))))))))))))))
10,1 6 6 7 8 8 11 11 12 13 13 15 15 15 16 16 17 18 19 20,(1*(6-(6+((8-(8*(11+(11+(12+(13+(13+(15+(15+(15+(16+(16+(17+(18+(19+20)))))))))))))))/7))))
11,1 3 3 5 6 8 8 8 9 13 13 13 15 15 16 16 16 16 16 18,(1*(3/(3*(5/(6*(8+(8+(8+(9+(13+(13+(13+(15+(15+(16+(16+(16+(16+(16+18)))))))))))))))))))
12,1 3 3 5 6 7 7 8 8 9 10 10 11 11 12 14 16 16 17 19,(1*(3+(3-((6-(7*(7+(8+(8+(9+(10+(10+(11+(11+(12+(14+(16+(16+(17+19)))))))))))))))/5))))
13,1 2 4 4 6 6 6 6 6 6 7 8 9 12 14 15 16 19 20 20,(1*(2+((4-(6*(6-(6+(6+(6+(6+(7+(8+(9+(12+(14+(15+(16+(19+(20+20))))))))))))))))/4)))
14,2 2 3 4 5 5 10 10 11 11 12 14 14 15 15 15 16 16 17 17,((((4*(((10+(10+(11+(11+(12+(14+(14+(15+(15+(15+(16+(16+(17+17)))))))))))))-5)-5))/3)-2)-2)
15,1 1 2 5 5 6 7 10 10 11 12 12 12 13 15 16 19 19 19 20,(1*((2+(5+((6*(7+(10+(10+(11+(12+(12+(12+(13+(15+(16+(19+(19+(19+20))))))))))))))/5)))-1))
16,2 3 3 9 9 9 9 11 11 12 12 15 16 17 18 18 19 19 20 20,(2-(3+(3-(9+(9+(9+(9+(11+(11+(12+(12+(15+(16+(17+(18+(18+(19+(19+(20+20)))))))))))))))))))
17,4 5 7 7 7 9 9 9 11 11 11 12 13 15 15 16 16 17 17 18,((5*(((7+(9+(9+(9+(11+(11+(11+(12+(13+(15+(15+(16+(16+(17+(17+18)))))))))))))))-7)-7))/4)
18,1 2 3 4 4 4 6 7 7 8 10 10 10 11 12 12 13 15 19 20,(1*(2*(3/(4/((4+(6+(7+(7+(8+(10+(10+(10+(11+(12+(12+(13+(15+(19+20))))))))))))))-4)))))
19,2 2 5 5 7 8 9 9 10 10 11 11 11 11 12 15 18 18 18 20,(2-(2+(5+((7*(8-(9+(9+(10+(10+(11+(11+(11+(11+(12+(15+(18+(18+(18+20)))))))))))))))/5))))
20,1 2 3 4 4 4 5 6 9 10 12 12 12 12 13 14 16 16 17 18,(1*(2*(3*(((4+(5+(6+(9+(10+(12+(12+(12+(12+(13+(14+(16+(16+(17+18))))))))))))))/4)-4))))
21,1 1 2 2 3 4 6 6 6 8 8 8 9 12 13 13 14 15 16 20,(1+(1+((2+(3*(4+(6+(6+(6+(8+(8+(8+(9+(12+(13+(13+(14+(15+(16+20))))))))))))))))/2)))
22,1 2 7 8 8 9 9 10 11 12 12 12 12 14 14 16 19 19 19 20,(1*(2+(7*(8+((9+(9+(10+(11+(12+(12+(12+(12+(14+(14+(16+(19+(19+(19+20))))))))))))))/8)))))
