Rank,Puzzles,Solutions
1,2 4 9 11 12 15 20 21 22 24 24 26 26 32 34 34 35 35 39 40,(2+(4+(9*(11-(12-(15+(20+(21+(22+(24+(24+(26+(26+(32+(34+(34+(35+(35+(39+40)))))))))))))))))))
2,1 3 3 3 4 4 6 8 14 15 19 20 20 25 27 28 33 33 35 38,(1*(3*(3-(3+(4-(4*(6+(8+(14+(15+(19+(20+(20+(25+(27+(28+(33+(33+(35+38)))))))))))))))))))
3,4 7 8 8 8 11 12 15 17 21 21 22 24 25 26 28 29 34 38 39,((7-(8+(8+(8-(11*(12+(15+(17+(21+(21+(22+(24+(25+(26+(28+(29+(34+(38+39))))))))))))))))))-4)
4,2 2 5 6 9 10 11 18 23 26 28 29 30 32 34 35 35 37 37 40,(2+(2+(5+(6+(9*(10+(11+(18+(23+(26+(28+(29+(30+(32+(34+(35+(35+(37+(37+40)))))))))))))))))))
5,4 5 8 10 12 16 16 17 20 24 25 26 27 29 30 32 33 34 38 39,((5*(8*(((16+(16+(17+(20+(24+(25+(26+(27+(29+(30+(32+(33+(34+(38+39))))))))))))))-12)-10)))/4)
6,2 4 6 6 7 7 11 11 16 17 17 18 20 21 26 32 36 36 37 37,((4*((6*(((11+(11+(16+(17+(17+(18+(20+(21+(26+(32+(36+(36+(37+37)))))))))))))-7)-7))-6))/2)
7,1 3 4 4 5 7 7 11 15 16 20 20 21 21 25 25 32 35 36 38,(1*(3*(4*(((7+(7+(11+(15+(16+(20+(20+(21+(21+(25+(25+(32+(35+(36+38))))))))))))))-5)-4))))
8,4 6 8 8 10 14 14 17 18 18 20 21 22 28 30 33 35 36 37 40,(4+(6-(8-(8+(10*(14+(14+(17+(18+(18+(20+(21+(22+(28+(30+(33+(35+(36+(37+40)))))))))))))))))))
9,1 6 9 9 10 12 15 15 16 18 25 28 29 33 34 35 35 40 40 40,(1*(6+(9+(9*(10+(12+(15+(15+(16+(18+(25+(28+(29+(33+(34+(35+(35+(40+(40+40)))))))))))))))))))
10,3 4 5 9 10 12 13 14 17 19 20 21 25 27 29 30 32 32 37 39,((4+(5+(9/(10/(12*(13+(14+(17+(19+(20+(21+(25+(27+(29+(30+(32+(32+(37+39))))))))))))))))))-3)
11,3 3 4 7 8 9 11 18 19 19 23 25 26 28 29 30 33 35 39 40,((3*(4*(7/(8/((11+(18+(19+(19+(23+(25+(26+(28+(29+(30+(33+(35+(39+40)))))))))))))-9)))))-3)
12,1 3 5 11 11 11 13 15 16 20 21 21 22 24 28 28 30 31 40 40,(((5-(11*(11-(11+(13+(15+(16+(20+(21+(21+(22+(24+(28+(28+(30+(31+(40+40)))))))))))))))))-3)-1)
